,extended,country,region,provstate,city,latitude,longitude,specificity,vicinity,multiple,success,suicide,attacktype1,targtype1,target1,natlty1,individual,weaptype1,nkill,property,ishostkid,gname
72749,0,209,10,181,785,37.222085,42.498922,1.0,0,0.0,1,0,3,3,250,209.0,0,6,1.0,1,0.0,Kurdistan Workers' Party (PKK)
72720,0,147,11,137,631,7.296636,9.250712,2.0,0,1.0,1,0,2,14,27,147.0,0,5,4.0,1,0.0,Fulani extremists
48914,0,92,6,105,358,18.924224,83.010623,1.0,0,0.0,1,0,3,3,500,92.0,0,6,0.0,1,0.0,Communist Party of India - Maoist (CPI-Maoist)
67194,0,214,9,118,466,48.064426,37.673248,1.0,1,1.0,1,0,3,4,48,214.0,0,6,0.0,-9,0.0,Donetsk People's Republic
53391,0,95,10,28,118,33.540672,44.251266,1.0,0,1.0,1,0,3,14,13,95.0,0,6,2.0,-9,0.0,Al-Qaida in Iraq
4992,0,603,8,161,698,54.347539,-6.656108,1.0,0,0.0,1,0,3,3,845,233.0,0,6,1.0,1,0.0,Irish Republican Army (IRA)
4391,0,185,8,68,229,43.258434,-2.921819,1.0,0,0.0,1,0,1,3,352,185.0,0,5,2.0,0,0.0,Basque Fatherland and Freedom (ETA)
19373,0,159,3,408,1632,-6.779131,-79.83942,1.0,0,0.0,1,0,3,1,1807,159.0,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
65731,0,214,9,118,485,48.730804,37.574596,1.0,0,1.0,1,0,3,14,652,214.0,0,6,3.0,1,0.0,Donetsk People's Republic
4459,0,185,8,68,248,43.090476,-2.31322,1.0,0,0.0,1,0,2,3,376,185.0,0,5,1.0,1,0.0,Basque Fatherland and Freedom (ETA)
37268,1,45,3,272,1359,11.3,-74.183333,2.0,0,1.0,1,0,6,14,1506,45.0,0,5,1.0,0,1.0,Revolutionary Armed Forces of Colombia (FARC)
83138,0,147,11,86,314,11.53955,13.155654,2.0,0,1.0,1,1,3,14,346,147.0,0,6,5.0,1,0.0,Boko Haram
6247,0,183,11,23,24,-29.601439,30.376695,4.0,0,0.0,1,0,2,1,152,183.0,0,5,0.0,1,0.0,African National Congress (South Africa)
61933,0,214,9,118,461,47.981647,37.762325,1.0,0,0.0,1,0,3,14,651,214.0,0,6,1.0,1,0.0,Donetsk People's Republic
8600,0,97,10,335,1303,32.243008,35.456097,1.0,0,0.0,1,0,2,4,788,97.0,0,5,1.0,1,0.0,Palestinians
21162,0,61,2,125,521,13.5,-88.866667,1.0,0,0.0,1,0,3,4,698,61.0,0,6,0.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
19986,0,159,3,224,926,-11.967368,-76.978462,1.0,0,0.0,1,0,3,4,1820,159.0,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
51618,0,92,6,109,932,19.598623,80.226578,1.0,0,0.0,1,0,1,14,1091,92.0,0,5,1.0,0,0.0,Maoists
80283,0,147,11,147,606,9.270173,5.105799,2.0,0,0.0,1,0,2,15,198,147.0,0,5,27.0,-9,0.0,Fulani extremists
46305,0,92,6,102,373,23.893139,85.894669,1.0,0,0.0,1,0,3,14,515,92.0,0,6,0.0,1,0.0,Communist Party of India - Maoist (CPI-Maoist)
