,extended,country,region,provstate,city,latitude,longitude,specificity,vicinity,multiple,success,suicide,attacktype1,targtype1,target1,natlty1,individual,weaptype1,nkill,property,ishostkid,gname
24854,0,43,3,301,2939,-33.366238,-70.505302,1.0,0,0.0,0,0,3,14,4196,43.0,0,6,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
16563,0,145,2,491,4104,13.130707,-85.971684,3.0,1,0.0,1,0,3,2,5405,145.0,0,6,2.0,1,0.0,Nicaraguan Democratic Force (FDN)
33597,0,209,10,247,2546,37.562515,44.293677,3.0,0,0.0,1,0,2,19,791,209.0,0,5,8.0,1,0.0,Kurdistan Workers' Party (PKK)
62908,0,92,6,147,3189,24.881833,86.91805,2.0,0,1.0,1,0,3,16,2066,92.0,0,6,0.0,1,0.0,Maoists
17508,0,43,3,301,2939,-33.366238,-70.505302,1.0,0,0.0,1,0,2,10,2804,43.0,0,5,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
73263,0,147,11,188,1830,7.816253,7.948115,2.0,0,1.0,1,0,2,14,27,147.0,0,5,2.0,1,0.0,Fulani extremists
77905,0,95,10,42,362,36.354145,43.14357,1.0,0,1.0,1,0,3,14,1327,95.0,0,6,3.0,-9,0.0,Islamic State of Iraq and the Levant (ISIL)
12743,0,183,11,27,214,-25.661361,27.247563,1.0,0,0.0,1,0,3,21,430,183.0,0,6,0.0,1,0.0,African National Congress (South Africa)
62403,0,228,10,65,2172,16.032999,44.766691,1.0,0,0.0,1,0,3,4,48,228.0,0,6,2.0,-9,0.0,Houthi extremists (Ansar Allah)
36538,0,45,3,412,3527,7.894195,-72.503885,1.0,0,1.0,1,0,3,2,4805,45.0,0,6,0.0,1,0.0,National Liberation Army of Colombia (ELN)
8318,0,97,10,296,4307,32.089161,34.88382,1.0,0,0.0,1,0,3,14,5656,97.0,0,6,0.0,1,0.0,Palestinians
46804,0,4,6,579,5049,34.68611,70.915658,3.0,0,0.0,0,0,1,2,6776,4.0,0,5,0.0,-9,0.0,Taliban
24031,0,159,3,307,2951,-11.967368,-76.978462,1.0,0,0.0,1,0,1,3,6311,159.0,0,5,2.0,0,0.0,Shining Path (SL)
63794,0,147,11,139,1910,5.787297,6.459671,1.0,0,0.0,1,0,6,14,2890,147.0,0,5,1.0,1,1.0,Fulani extremists
40385,0,160,5,4,15,6.929089,122.07885,1.0,0,1.0,1,0,3,14,16,160.0,0,6,3.0,1,0.0,Abu Sayyaf Group (ASG)
75190,0,147,11,188,1903,7.531944,9.391295,1.0,0,1.0,1,0,2,14,27,147.0,0,5,1.0,0,0.0,Fulani extremists
81354,0,147,11,128,858,11.840929,13.141459,1.0,0,1.0,1,1,3,14,1852,147.0,0,6,6.0,1,0.0,Boko Haram
57853,0,228,10,58,505,16.914939,49.366207,2.0,0,0.0,1,0,2,4,20,228.0,0,5,4.0,0,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
16930,0,145,2,505,4064,12.069311,-84.539748,1.0,0,1.0,1,0,2,4,5359,145.0,0,5,1.0,1,0.0,Nicaraguan Democratic Force (FDN)
7019,0,61,2,175,1688,13.617851,-88.880287,1.0,0,0.0,1,0,2,4,2660,61.0,0,5,15.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
67932,0,160,5,1,22,6.050458,121.012245,1.0,0,0.0,1,0,3,3,85,160.0,0,6,0.0,-9,0.0,Abu Sayyaf Group (ASG)
75642,0,228,10,68,482,13.586484,44.024105,1.0,0,1.0,1,0,3,14,1327,228.0,0,6,0.0,-9,0.0,Houthi extremists (Ansar Allah)
20960,0,61,2,180,1671,13.344322,-88.437463,1.0,0,0.0,1,0,3,19,233,61.0,0,6,0.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
1829,0,603,8,212,2263,54.607712,-5.95621,1.0,0,0.0,1,0,1,14,3188,233.0,0,5,1.0,0,0.0,Irish Republican Army (IRA)
43992,0,603,8,50,402,55.863239,-4.427852,1.0,0,0.0,1,1,2,6,800,216.0,0,8,1.0,1,0.0,Al-Qaida in Iraq
35593,0,69,8,158,24,41.918891,8.737554,4.0,0,1.0,1,0,3,2,2425,69.0,0,6,0.0,1,0.0,Corsican National Liberation Front (FLNC)
35755,0,45,3,412,3511,7.933383,-72.600048,3.0,0,0.0,1,0,2,4,3081,45.0,0,5,2.0,1,0.0,National Liberation Army of Colombia (ELN)
46550,0,92,6,147,1194,24.781467,84.986412,1.0,0,0.0,1,0,3,2,2054,92.0,0,6,0.0,1,0.0,Communist Party of India - Maoist (CPI-Maoist)
10109,0,69,8,20,196,48.856644,2.34233,1.0,0,0.0,1,0,3,19,2419,69.0,0,6,0.0,1,0.0,Corsican National Liberation Front (FLNC)
76207,0,182,11,78,572,2.059819,45.326115,1.0,0,0.0,1,1,3,1,826,182.0,0,6,23.0,1,0.0,Al-Shabaab
55410,0,160,5,13,3888,7.608056,124.883056,1.0,0,0.0,1,0,2,2,5198,160.0,0,5,4.0,1,0.0,New People's Army (NPA)
77077,0,173,10,207,2213,16.451439,42.904686,1.0,0,0.0,1,0,3,4,0,173.0,0,6,0.0,-9,0.0,Houthi extremists (Ansar Allah)
66849,0,160,5,1,73,6.050458,121.012245,1.0,0,0.0,0,0,3,1,78,160.0,0,6,0.0,0,0.0,Abu Sayyaf Group (ASG)
