,extended,vicinity,multiple,success,suicide,attacktype1,targtype1,target1,individual,weaptype1,nkill,property,ishostkid,gname
1698,0,0,0.0,1,0,2,2,250,0,5,0.0,1,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
1699,0,1,0.0,1,0,2,19,1406,0,5,0.0,1,0.0,Palestinians
1700,0,0,0.0,1,0,3,2,1375,0,6,0.0,1,0.0,Palestinians
1701,0,0,0.0,1,0,1,2,1572,0,6,0.0,1,0.0,Shining Path (SL)
1702,0,0,0.0,0,0,3,3,1811,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
1703,0,0,1.0,1,0,3,17,180,0,6,0.0,1,0.0,Al-Qaida in Iraq
1704,0,1,0.0,0,0,3,14,447,0,6,0.0,0,0.0,Houthi extremists (Ansar Allah)
1705,0,0,1.0,1,0,2,19,56,0,8,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
1706,0,0,0.0,1,0,3,3,250,0,6,0.0,1,0.0,New People's Army (NPA)
1707,0,0,0.0,1,0,2,4,1290,0,5,1.0,0,0.0,New People's Army (NPA)
1708,0,0,0.0,1,0,3,3,124,0,6,0.0,1,0.0,African National Congress (South Africa)
1709,0,0,1.0,1,0,3,2,598,0,6,0.0,1,0.0,Corsican National Liberation Front (FLNC)
1710,0,0,0.0,1,0,2,14,1699,0,5,5.0,-9,0.0,Taliban
1711,0,0,0.0,1,0,3,14,103,0,6,0.0,1,0.0,African National Congress (South Africa)
1712,0,0,0.0,1,0,2,3,1092,0,5,1.0,0,0.0,Maoists
1713,0,0,0.0,1,0,1,2,467,0,5,2.0,1,0.0,Boko Haram
1714,0,0,1.0,1,0,3,2,161,0,6,1.0,-9,0.0,Houthi extremists (Ansar Allah)
1715,0,0,0.0,0,1,1,4,240,0,6,9.0,-9,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
1716,0,1,0.0,1,0,3,14,459,0,6,0.0,1,0.0,Donetsk People's Republic
1717,0,1,0.0,1,0,2,22,131,0,5,6.0,1,0.0,African National Congress (South Africa)
1718,0,0,0.0,1,0,2,3,250,0,5,1.0,1,0.0,Kurdistan Workers' Party (PKK)
1719,0,0,0.0,1,0,2,4,48,0,5,2.0,1,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
1720,0,0,0.0,1,0,3,3,673,0,5,2.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
1721,0,0,0.0,1,1,3,4,48,0,6,3.0,0,0.0,Boko Haram
1722,0,1,0.0,1,0,2,4,48,0,6,1.0,0,0.0,Donetsk People's Republic
1723,0,1,0.0,1,0,3,4,1000,0,6,5.0,-9,0.0,Liberation Tigers of Tamil Eelam (LTTE)
1724,0,0,0.0,1,0,3,4,59,0,6,0.0,1,0.0,Abu Sayyaf Group (ASG)
1725,0,0,0.0,1,0,3,21,375,0,6,1.0,1,0.0,Basque Fatherland and Freedom (ETA)
1726,0,0,1.0,1,0,2,14,27,0,5,1.0,1,0.0,Fulani extremists
1727,0,1,1.0,1,0,3,3,289,0,6,0.0,1,0.0,Maoists
1728,0,0,0.0,1,0,3,19,537,0,6,0.0,1,0.0,Communist Party of India - Maoist (CPI-Maoist)
1729,0,0,0.0,1,0,2,1,1128,0,5,0.0,1,0.0,Maoists
1730,0,0,0.0,1,0,2,3,1758,0,6,12.0,1,1.0,Tehrik-i-Taliban Pakistan (TTP)
1731,0,0,1.0,1,0,2,14,27,0,5,0.0,1,0.0,Boko Haram
1732,0,0,0.0,1,0,6,10,1222,0,5,0.0,0,1.0,National Liberation Army of Colombia (ELN)
1733,0,0,0.0,1,0,3,14,766,0,6,1.0,1,0.0,Houthi extremists (Ansar Allah)
1734,0,0,0.0,1,0,3,2,306,0,6,2.0,-9,0.0,Al-Shabaab
1735,1,0,0.0,1,0,6,14,1275,0,5,1.0,0,1.0,New People's Army (NPA)
1736,0,0,0.0,1,0,2,1,911,0,5,2.0,0,0.0,Kurdistan Workers' Party (PKK)
1737,0,0,0.0,1,0,2,3,541,0,5,1.0,0,0.0,Communist Party of India - Maoist (CPI-Maoist)
1738,0,0,0.0,1,0,2,4,672,0,5,1.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
1739,1,0,0.0,1,0,6,14,1239,0,5,0.0,0,1.0,National Liberation Army of Colombia (ELN)
1740,0,0,0.0,1,0,2,4,1206,0,5,5.0,1,1.0,National Liberation Army of Colombia (ELN)
1741,0,0,0.0,1,0,3,1,250,0,6,2.0,1,0.0,Kurdistan Workers' Party (PKK)
1742,0,0,0.0,1,0,3,14,652,0,6,1.0,-9,0.0,Houthi extremists (Ansar Allah)
1743,0,0,1.0,1,0,3,21,670,0,6,0.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
